Designator,Footprint,Quantity,Value,LCSC Part #
CB1,0805,1,47nF,
"C_DT_100P1, C_INA_FILT2, C_INA_FILT3, C_OC_100P1",0805,4,100pF,
"C_DT_10N1, C_OC_10N1",0402,2,10nF,
"C_DT_1U1, C_OC_1U1, C_UCC_VDD_HF1",0805,3,1uF,
C_INA_FILT1,0402,1,1nF,
"C_INA_VCC1, C_UCC_VDD_LF1",0603,2,100nF,
"C_IN_HF1, C_OUT_HF1",1210,2,10uF,
"C_IN_LF1, C_OUT_LF1",CP_Elec_8x10,2,47uF,
C_VFB_FILT1,0603,1,1nF,
D1,D_SOD-123,1,3.3V,
"J_IN1, J_OUT1",TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,2,Conn_01x02,
J_STM1,PinHeader_1x13_P2.54mm_Vertical,1,Conn_01x13,
L1,L_Coilcraft_XAL1010-XXX,1,6.8uH,
R1,0603,1,0R,
R1_DT1,0603,1,3.9KR,
R1_VFB1,0603,1,6.8KR,
R2_DT1,0603,1,1KR,
R2_VFB1,0603,1,10KR,
"R_FILT_N1, R_FILT_P1",0402,2,10R,
"R_GATE_1, R_GATE_2",0805,2,10R,
"R_HYS1, R_HYS2",0603,2,75KR,
R_SHUNT1,RES_2012_SUS,1,5mR,
"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8",TestPoint_Pad_2.0x2.0mm,8,TestPoint,
"U1, U2",Infineon_PG-TDSON-8_6.15x5.15mm,2,BSC066N06NSATMA1,
U3,SOT23-8_DDF_TEX,1,INA241A3IDDFR,
"U_DT1, U_OC1",SC70_DCK_TEX,2,TLV3603DCKR-ET,
U_UCC1,SOIC127P599X175-8N,1,UCC27211D,
