Designator,Mid X,Mid Y,Rotation,Layer
CB1,204.845,-74.645,270.0,top
C_DT_100P1,199.5,-81.55,270.0,top
C_DT_10N1,198.01,-81.12,270.0,top
C_DT_1U1,196.48,-81.56,270.0,top
C_INA_FILT1,219.74,-90.04,180.0,top
C_INA_FILT2,217.86,-88.55,0.0,top
C_INA_FILT3,221.74,-88.54,180.0,top
C_INA_VCC1,222.66,-91.95,90.0,top
C_IN_HF1,192.4,-65.675,270.0,top
C_IN_LF1,185.5,-67.75,0.0,top
C_OC_100P1,190.94,-87.23,90.0,top
C_OC_10N1,192.44,-87.63,90.0,top
C_OC_1U1,193.9,-87.24,90.0,top
C_OUT_HF1,225.955,-64.58,0.0,top
C_OUT_LF1,226.11,-70.91,180.0,top
C_UCC_VDD_HF1,196.73,-72.57,0.0,top
C_UCC_VDD_LF1,199.98,-72.06,180.0,top
C_VFB_FILT1,227.52,-91.82,90.0,top
D1,230.25,-92.71,270.0,top
J_IN1,186.5,-59.0,0.0,top
J_OUT1,225.9,-58.41,180.0,top
J_STM1,207.18,-99.73,90.0,top
L1,210.11,-66.095,90.0,top
R1,212.48,-83.77,270.0,top
R1_DT1,204.861,-79.025,90.0,top
R1_VFB1,224.56,-91.83,90.0,top
R2_DT1,206.6,-79.025,270.0,top
R2_VFB1,224.7,-85.36,270.0,top
R_FILT_N1,220.3,-86.55,90.0,top
R_FILT_P1,219.31,-86.54,270.0,top
R_GATE_1,195.4,-77.43,270.0,top
R_GATE_2,202.26,-58.86,180.0,top
R_HYS1,192.115,-90.68,180.0,top
R_HYS2,206.425,-82.25,180.0,top
R_SHUNT1,219.8085,-84.07,0.0,top
TP1,207.98,-89.29,0.0,top
TP2,212.48,-58.39,0.0,top
TP3,203.86,-89.32,0.0,top
TP4,229.1,-87.07,0.0,top
TP5,191.14,-78.29,0.0,top
TP6,206.31,-58.36,0.0,top
TP7,209.42,-58.35,0.0,top
TP8,207.4,-74.83,0.0,top
U1,200.11,-76.56,0.0,top
U2,200.245,-62.865,180.0,top
U3,219.68285,-92.294999,0.0,top
U_DT1,202.30605,-80.889999,180.0,top
U_OC1,188.12395,-88.999999,0.0,top
U_UCC1,197.85,-68.565,180.0,top
